"proposed_claim","evidence_artifact","experiment_condition","statistical_support","caveat","allowed_wording","status"
"Emergency-radio ASR errors are concentrated in short transmissions.","experiments/results/predicted_history_breakdown.json sha256 9ae47d1e37b42966316b3f8c98e0ccafabfc7ca8c085333ff6c41a755905bdb9","Post-outcome exploratory duration breakdown on the 4,098-row prediction-only development panel; no-history-interface prompt control uses no-history-interface; duration thresholds 0.863/1.495/2.65275 seconds","no-history-interface prompt control duration-Q1 versus Q4 WER is 39.43% versus 17.07% for history-free SFT and 36.73% versus 17.44% for prior-transcript SFT; each stratum has a descriptive 10,000-draw source-cluster-then-row interval","This is a post-outcome development breakdown, not a prevalence-weighted or held-out population estimate; no across-quartile hypothesis test was registered; duration and reference length are correlated.","On this development panel, both bundled SFT systems had more than twice the no-history-interface prompt control WER in the shortest-duration quartile than in the longest-duration quartile.","partially supported"
"The fixed interface at K=8-minus-K=1 WER benefit is larger on the shortest clips than the longest clips.","experiments/results/predicted_history_breakdown.json sha256 9ae47d1e37b42966316b3f8c98e0ccafabfc7ca8c085333ff6c41a755905bdb9","Post-outcome duration-quartile breakdown on 4,098 prediction-only development rows","History-free-SFT K=8-minus-K=1 is -4.34 WER points [-8.24,-0.99] in duration Q1 and -0.48 [-1.04,0.09] in Q4; prior-transcript-SFT is -2.13 [-4.80,0.35] and -0.50 [-1.13,0.17], respectively","Intervals are within-stratum descriptive percentiles; no registered cross-quartile contrast tests whether the effects differ; the prior-transcript Q1 interval includes zero.","Post-outcome descriptive estimates suggest a larger short-clip window benefit for history-free SFT, but the study does not establish cross-quartile effect modification.","partially supported"
"A larger predicted-history window can improve WER while increasing lexical history-attribution proxies within the same subgroup.","experiments/results/predicted_history_breakdown.json sha256 9ae47d1e37b42966316b3f8c98e0ccafabfc7ca8c085333ff6c41a755905bdb9","Prior-transcript-SFT duration-Q3 post-outcome exploratory stratum; fixed interface at K=8 minus K=1","WER changes -1.30 points [-2.42,-0.16], context-copy proxy +3.83 [2.02,5.81], and prior-only-token proxy +3.88 [2.78,5.02] under 10,000 descriptive source-cluster-then-row draws","Post-outcome subgroup analysis has no multiplicity-adjusted claim; automatic lexical proxies do not establish acoustic support, semantic copying, or hallucination.","In one descriptive duration stratum, the larger predicted-history window improved WER while increasing both automatic lexical-attribution proxies; this is a mixed automatic result, not a semantic-safety judgment.","partially supported"
"The checked code snapshot is covered by the repository's Apache-2.0 root license.","Public watch-duty/radio-transcription repository license audit","Checked source tree","Root LICENSE declares Apache-2.0","The root license does not establish rights for excluded, third-party, or data artifacts.","The checked code repository carries an Apache-2.0 root license.","supported"
"Audio, labels, predictions, provider outputs, or private report material can be redistributed.","Private-source licensing and data-governance audit","Licensing and privacy review","No release authorization or complete redistribution-rights record was found","Artifacts may contain restricted data, provider identifiers, or PII; the private source has no public license.","Redistribution of audio, labels, predictions, provider outputs, and private report material remains unauthorized pending rights and privacy review.","unsupported"
"The core serving-history evaluation uses only prior model predictions, never reference transcripts, as context.","parent analysis sha256 47d010e6f7af4b5c6e3bbb8a5159106ae3b1b4742265ce76f0320d0f444e230c; extension analysis sha256 fb8fede35b125dabf66659289c8c4f77562122e31a2a5a25f68dbf9d852b5aa2; K=0 plan/receipt file sha256 ac01ea64ec4faa6dfe26f95ed280197227f328fb38868d6a54c33c3700c4c894/a749489d3c399adbb29d196a4bbaa085f641fa96a562f4f7efbbec148489ca0f; entity plan/receipt file sha256 b06618c81e77e603fe6e98471a50639cc5bc15bd8e8c7af082ce0ad550b3a10b/1eb4a42732d6feab8a4512f20dfc5d5a9d0125de4d39653c2c048337534ba3ed","All fixed interface at K=1/K=2/K=4/K=8 trajectories, K=0/no-history-interface prompt control no-history controls, and predicted-only counterfactual or lexical-stress contexts","Authenticated artifacts bind 79,944 registered requests: 73,944 main/control requests and 6,000 stress requests. K=0 supplies no history. Every nonzero serving history comes from model predictions; the lexical intervention uses the reference only offline to verify candidate absence, never as request content.","References are still used after inference for scoring and lexical diagnostics. The reference-absent intervention's private selection step is not a serving input and does not make the stress condition deployment-realistic or semantically adjudicated.","The core experiment supplies only model-predicted transcript text as prior context; no reference transcript is rendered into any serving-history request.","supported"
"On the fixed history interface development matrix, increasing the rolling predicted-history cap from one to eight turns lowers WER within each frozen model variant.","experiments/results/predicted_history_analysis.json sha256 47d010e6f7af4b5c6e3bbb8a5159106ae3b1b4742265ce76f0320d0f444e230c; matrix plan/receipt sha256 363eaee6104387db95987574f0789133ed8f910877a62ca77f6d915c51a96cb1/e2386e01b97f205c6ac4a629aa1b5579e1f2ae4d31eb3d85e4bd1ac9706a7f0f","Paired K=8-minus-K=1 comparison within base, history-free SFT, and prior-transcript SFT on 4,098 normalized-nonempty rows","K=8-minus-K=1 WER is -1.29 points [-1.98,-0.56], Holm 0.0012, for base; -1.35 [-1.93,-0.76], Holm 0/10,000, for history-free SFT; and -0.99 [-1.57,-0.36], Holm 0.0048, for prior-transcript SFT.","These are maximum-window policies with independently rolled trajectories, not identical supplied text. The comparison is development evidence and does not compare nonzero history with no-history-interface prompt control.","Within the fixed history interface, increasing the maximum history from one to eight turns reduced WER for all three frozen model variants on the development frame.","supported"
"The K=8 prior-transcript-SFT variant has lower WER than the K=8 history-free-SFT variant.","experiments/results/predicted_history_analysis.json sha256 47d010e6f7af4b5c6e3bbb8a5159106ae3b1b4742265ce76f0320d0f444e230c; matrix plan/receipt sha256 363eaee6104387db95987574f0789133ed8f910877a62ca77f6d915c51a96cb1/e2386e01b97f205c6ac4a629aa1b5579e1f2ae4d31eb3d85e4bd1ac9706a7f0f","Descriptive prior-transcript-SFT minus history-free-SFT K=8 contrast on 4,098 primary rows","The WER difference is +0.02 points, 95% CI [-0.63,+0.70], Holm-adjusted tail area 1.0; cell WERs are 22.01% and 21.99%, respectively.","Targets differ in historical training corpus, labels, prompt exposure, and checkpoint selection; even a resolved gap would not isolate prior-transcript training.","At K=8, the bundled SFT model variants had essentially equal descriptive WER (22.01% prior-transcript versus 21.99% history-free); no lower prior-transcript WER is supported.","unsupported"
"At K=8, the prior-transcript-SFT variant has a safer automatic lexical-leakage profile than the history-free-SFT variant.","experiments/results/predicted_history_analysis.json sha256 47d010e6f7af4b5c6e3bbb8a5159106ae3b1b4742265ce76f0320d0f444e230c; matrix plan/receipt sha256 363eaee6104387db95987574f0789133ed8f910877a62ca77f6d915c51a96cb1/e2386e01b97f205c6ac4a629aa1b5579e1f2ae4d31eb3d85e4bd1ac9706a7f0f","Descriptive prior-transcript-SFT minus history-free-SFT contrast under own-model predicted K=8 history on 4,098 primary rows","Prior-transcript minus history-free is +1.44 context-copy points [0.66,2.25], +1.11 prior-only-token points [0.64,1.61], and +0.58 insertions per 100 reference words [0.26,0.90]; Holm-adjusted tail areas are 0.003, 0/10,000, and 0.002.","The model variants are historically unmatched. These reference-conditioned lexical proxies do not determine whether output content is acoustically unsupported and are not semantic hallucination rates.","The prior-transcript-SFT variant showed higher, not lower, automatic lexical-attribution and insertion diagnostics at K=8; this descriptive result does not establish semantic hallucination or a causal training effect.","unsupported"
"The K=8 serving bundle improves WER over no-history-interface prompt control for both SFT model variants.","experiments/results/predicted_history_analysis.json sha256 47d010e6f7af4b5c6e3bbb8a5159106ae3b1b4742265ce76f0320d0f444e230c; matrix plan/receipt sha256 363eaee6104387db95987574f0789133ed8f910877a62ca77f6d915c51a96cb1/e2386e01b97f205c6ac4a629aa1b5579e1f2ae4d31eb3d85e4bd1ac9706a7f0f","K=8 fixed history interface plus rolling predicted history versus no-history-interface prompt control without history on 4,098 primary rows","K=8-minus-no-history-interface prompt control WER is -1.79 points [-2.37,-1.18], Holm 0/10,000, for history-free SFT and -1.98 [-2.64,-1.28], Holm 0/10,000, for prior-transcript SFT.","The no-history-interface prompt control and K=8 change both prompt/interface and history, so this is a serving-policy bundle contrast rather than an isolated effect of predicted context.","The fixed history interface-plus-K=8 predicted-history serving bundle had lower WER than the no-history-interface prompt-control bundle for both SFT model variants; the contrast does not isolate history.","partially supported"
